address,instruction,function,stage/unit
out of processor 00000000 (000007d0 flushed),"sw a4,0(a5)",main,"AES Coprocessor,not found,SoC Interconnect,UART,Timer,T-DMA,"
out of processor 000007d8,"lw a4,68(a5)",main,"AES Coprocessor,T-DMA,not found,SoC Interconnect,UART,Timer,"
out of processor 000007d0,"sw a4,0(a5)",main,"AES Coprocessor,not found,SoC Interconnect,UART,Timer,T-DMA,"
out of processor 000007dc,"bne a4,a3,7d8 <main+0x98>",main,"AES Coprocessor,SoC Interconnect,not found,UART,T-DMA,Timer,"
out of processor 00000000 (000007dc flushed),"bne a4,a3,7d8 <main+0x98>",main,"AES Coprocessor,not found,SoC Interconnect,Timer,T-DMA,UART,"
out of processor 00000000 (000007d8 flushed),"lw a4,68(a5)",main,"AES Coprocessor,T-DMA,SoC Interconnect,not found,UART,Timer,"
out of processor 000007d4,"addi a3,zero,1",main,"AES Coprocessor,not found,SoC Interconnect,UART,Timer,T-DMA,"
out of processor 000007cc,"addi a4,zero,4",main,"AES Coprocessor,"
out of processor 00000000 (00000790 flushed),"lw a3,8(a4)",main,"AES Coprocessor,T-DMA,SoC Interconnect,UART,not found,"
out of processor 00000000 (000007cc flushed),"addi a4,zero,4",main,"AES Coprocessor,not found,SoC Interconnect,UART,"
out of processor 00000000 (00000788 flushed),"lw a3,4(a4)",main,"T-DMA,SoC Interconnect,UART,AES Coprocessor,not found,"
out of processor 00000000 (00000798 flushed),"lw a4,12(a4)",main,"T-DMA,SoC Interconnect,UART,AES Coprocessor,not found,"
out of processor 00000780,"lw a3,0(a4)",main,"T-DMA,UART,SoC Interconnect,"
out of processor 00000000 (00000780 flushed),"lw a3,0(a4)",main,"T-DMA,SoC Interconnect,UART,AES Coprocessor,not found,"
out of processor 00000784,"sw a3,4(a5)",main,"SoC Interconnect,AES Coprocessor,UART,T-DMA,not found,"
out of processor 0000078c,"sw a3,8(a5)",main,"SoC Interconnect,AES Coprocessor,UART,T-DMA,not found,"
out of processor 0000079c,"sw a4,16(a5)",main,"SoC Interconnect,AES Coprocessor,UART,T-DMA,not found,"
out of processor 000007c8,"sw a4,0(a5)",main,"not found,"
00000000 (00000788 flushed),"lw a3,4(a4)",main,"Execute Stage,Memory Stage,Decode Stage,"
000007d8,"lw a4,68(a5)",main,"Execute Stage,Decode Stage,Memory Stage,"
00000000 (000007e0 flushed),"lw a4,52(a5)",main,"Execute Stage,Decode Stage,"
00000000 (000007dc flushed),"bne a4,a3,7d8 <main+0x98>",main,"Execute Stage,Memory Stage,"
00000000 (00000790 flushed),"lw a3,8(a4)",main,"Execute Stage,Memory Stage,Decode Stage,"
00000000 (00000798 flushed),"lw a4,12(a4)",main,"Execute Stage,Memory Stage,"
00000000 (00000780 flushed),"lw a3,0(a4)",main,"Execute Stage,Memory Stage,"
00000784,"sw a3,4(a5)",main,"Execute Stage,Memory Stage,Decode Stage,"
00000000 (000007d4 flushed),"addi a3,zero,1",main,"Execute Stage,Decode Stage,"
00000000 (000007e8 flushed),"lw a4,56(a5)",main,"Execute Stage,"
0000079c,"sw a4,16(a5)",main,"Execute Stage,Memory Stage,Decode Stage,"
00000000 (000007f0 flushed),"lw a4,60(a5)",main,"Execute Stage,"
00000794,"sw a3,12(a5)",main,"Execute Stage,Decode Stage,"
00000790,"lw a3,8(a4)",main,"Memory Stage,Write-Back Stage,"
00000788,"lw a3,4(a4)",main,"Memory Stage,Write-Back Stage,Decode Stage,Execute Stage,"
00000780,"lw a3,0(a4)",main,"Memory Stage,"
00000798,"lw a4,12(a4)",main,"Memory Stage,Write-Back Stage,Decode Stage,"
00000000 (0000078c flushed),"sw a3,8(a5)",main,"Write-Back Stage,"
00000000 (00000784 flushed),"sw a3,4(a5)",main,"Write-Back Stage,"
00000000 (0000077c flushed),"addi a4,zero,8",main,"Write-Back Stage,"
00000000 (00000794 flushed),"sw a3,12(a5)",main,"Write-Back Stage,"
0000077c,"addi a4,zero,8",main,"Write-Back Stage,"
0000078c,"sw a3,8(a5)",main,"Memory Stage,Decode Stage,"
00000000 (000007ac flushed),"lw a3,4(a4)",main,"Decode Stage,Execute Stage,"
00000000 (000007a4 flushed),"lw a3,0(a4)",main,"Decode Stage,Execute Stage,Memory Stage,"
000007a8,"sw a3,20(a5)",main,"Decode Stage,"
000007b8,"sw a3,28(a5)",main,"Decode Stage,"
000007b0,"sw a3,24(a5)",main,"Decode Stage,"
out of processor 00000000 (000007e0 flushed),"lw a4,52(a5)",main,"UART,SoC Interconnect,"
out of processor 00000000 (000007f0 flushed),"lw a4,60(a5)",main,"UART,SoC Interconnect,"
out of processor 00000000 (000007f8 flushed),"lw a5,64(a5)",main,"UART,SoC Interconnect,"
