address,instruction,function,stage/unit
000007d4,"xorc16 t1,t1,a4",PRESENT_ENCRYPT_SBOX,"Memory Stage,Write-Back Stage,"
00000000 (000007d4 flushed),"xorc16 t1,t1,a4",PRESENT_ENCRYPT_SBOX,"Memory Stage,Execute Stage,"
out of processor 00000000 (000007d4 flushed),"xorc16 t1,t1,a4",PRESENT_ENCRYPT_SBOX,"UART,T-DMA,AES Coprocessor,not found,SoC Interconnect,"
out of processor 000007d4,"xorc16 t1,t1,a4",PRESENT_ENCRYPT_SBOX,"UART,T-DMA,AES Coprocessor,not found,SoC Interconnect,Timer,GPIO,"
000007d8,"sw t1,0(a0)",PRESENT_ENCRYPT_SBOX,"Decode Stage,Execute Stage,"
00000000 (000007d8 flushed),"sw t1,0(a0)",PRESENT_ENCRYPT_SBOX,"Decode Stage,"
000007bc,"lw a4,8(a1)",PRESENT_ENCRYPT_SBOX,"Decode Stage,"
out of processor 00000000 (000007d8 flushed),"sw t1,0(a0)",PRESENT_ENCRYPT_SBOX,"not found,"
00000000 (000007d0 flushed),"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,"
00000860,"andc16 a4,t3,a4",PRESENT_ENCRYPT_SBOX,"Memory Stage,"
00000848,"xori t6,t6,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
000008a4,"andc16 t3,a4,t3",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
out of processor 00000848,"xori t6,t6,-1",PRESENT_ENCRYPT_SBOX,"not found,"
out of processor 00000000 (00000844 flushed),"lw a4,12(a1)",PRESENT_ENCRYPT_SBOX,"T-DMA,"
