address,instruction,function,stage/unit
000007d4,"xor t1,t1,a4",PRESENT_ENCRYPT_SBOX,"Execute Stage,Write-Back Stage,"
000007d0,"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,Write-Back Stage,"
000007cc,"xor a4,a3,a5",PRESENT_ENCRYPT_SBOX,"Execute Stage,Write-Back Stage,"
000007d8,"sw t1,0(a0)",PRESENT_ENCRYPT_SBOX,"Execute Stage,Memory Stage,"
000007c8,"and t1,t1,a4",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,"
00000000 (000007d4 flushed),"xor t1,t1,a4",PRESENT_ENCRYPT_SBOX,"Decode Stage,Memory Stage,"
00000000 (000007d0 flushed),"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"Decode Stage,Memory Stage,"
00000000 (000007d8 flushed),"sw t1,0(a0)",PRESENT_ENCRYPT_SBOX,"Decode Stage,Execute Stage,"
00000000 (000007cc flushed),"xor a4,a3,a5",PRESENT_ENCRYPT_SBOX,"Decode Stage,Memory Stage,"
00000000 (0000085c flushed),"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"Memory Stage,Execute Stage,"
00000868,"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"Memory Stage,Execute Stage,"
00000000 (00000864 flushed),"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"Memory Stage,Execute Stage,"
out of processor 00000000 (000007d0 flushed),"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"UART,T-DMA,AES Coprocessor,not found,SoC Interconnect,Timer,GPIO,"
out of processor 000007d8,"sw t1,0(a0)",PRESENT_ENCRYPT_SBOX,"UART,T-DMA,AES Coprocessor,not found,SoC Interconnect,"
out of processor 00000000 (000007d4 flushed),"xor t1,t1,a4",PRESENT_ENCRYPT_SBOX,"UART,T-DMA,AES Coprocessor,not found,SoC Interconnect,"
00000860,"and a4,t3,a4",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000000 (000007c8 flushed),"and t1,t1,a4",PRESENT_ENCRYPT_SBOX,"Memory Stage,"
out of processor 00000000 (000007d8 flushed),"sw t1,0(a0)",PRESENT_ENCRYPT_SBOX,"not found,"
00000000 (00000844 flushed),"lw a4,12(a1)",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000000 (00000868 flushed),"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
0000086c,"and a4,t1,a4",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
out of processor 00000000 (000007c8 flushed),"and t1,t1,a4",PRESENT_ENCRYPT_SBOX,"SoC Interconnect,not found,T-DMA,"
out of processor 00000000 (00000864 flushed),"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"not found,"
out of processor 00000844,"lw a4,12(a1)",PRESENT_ENCRYPT_SBOX,"T-DMA,"
