address,instruction,function,stage/unit
00000000 (000007fc flushed),"xori t2,t2,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,Decode Stage,"
000007f8,"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,Write-Back Stage,Memory Stage,"
00000000 (00000828 flushed),"andc16 a4,t1,a4",PRESENT_ENCRYPT_SBOX,"Execute Stage,Memory Stage,"
00000858,"andc16 t1,t4,a5",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
0000084c,"andc16 a4,a4,t6",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
0000082c,"sw a4,4(a0)",PRESENT_ENCRYPT_SBOX,"Execute Stage,Memory Stage,Decode Stage,"
000007fc,"xori t2,t2,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,Memory Stage,"
00000860,"andc16 a4,t3,a4",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000000 (00000824 flushed),"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,"
00000854,"andc16 a5,a5,t1",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,"
00000000 (00000844 flushed),"lw a4,12(a1)",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,"
00000828,"andc16 a4,t1,a4",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,Memory Stage,"
00000000 (000007f4 flushed),"lw t1,12(a1)",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,Memory Stage,"
0000085c,"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,"
00000000 (00000854 flushed),"andc16 a5,a5,t1",PRESENT_ENCRYPT_SBOX,"Memory Stage,"
00000000 (0000085c flushed),"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"Memory Stage,"
00000800,"andc16 t1,t1,t2",PRESENT_ENCRYPT_SBOX,"Decode Stage,"
00000000 (00000858 flushed),"andc16 t1,t4,a5",PRESENT_ENCRYPT_SBOX,"Decode Stage,"
00000000 (0000082c flushed),"sw a4,4(a0)",PRESENT_ENCRYPT_SBOX,"Decode Stage,Execute Stage,"
00000000 (00000860 flushed),"andc16 a4,t3,a4",PRESENT_ENCRYPT_SBOX,"Decode Stage,"
00000848,"xori t6,t6,-1",PRESENT_ENCRYPT_SBOX,"Memory Stage,Execute Stage,"
out of processor 0000082c,"sw a4,4(a0)",PRESENT_ENCRYPT_SBOX,"UART,SoC Interconnect,T-DMA,not found,AES Coprocessor,"
out of processor 00000000 (00000854 flushed),"andc16 a5,a5,t1",PRESENT_ENCRYPT_SBOX,"UART,T-DMA,"
out of processor 00000000 (00000828 flushed),"andc16 a4,t1,a4",PRESENT_ENCRYPT_SBOX,"UART,T-DMA,SoC Interconnect,AES Coprocessor,not found,"
out of processor 00000000 (0000085c flushed),"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"UART,T-DMA,"
out of processor 00000828,"andc16 a4,t1,a4",PRESENT_ENCRYPT_SBOX,"T-DMA,UART,SoC Interconnect,not found,Timer,AES Coprocessor,GPIO,"
out of processor 00000848,"xori t6,t6,-1",PRESENT_ENCRYPT_SBOX,"T-DMA,UART,SoC Interconnect,"
out of processor 000007f8,"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"T-DMA,UART,SoC Interconnect,not found,Timer,AES Coprocessor,"
out of processor 00000000 (0000082c flushed),"sw a4,4(a0)",PRESENT_ENCRYPT_SBOX,"not found,"
out of processor 00000000 (000007f4 flushed),"lw t1,12(a1)",PRESENT_ENCRYPT_SBOX,"T-DMA,not found,"
out of processor 00000000 (00000844 flushed),"lw a4,12(a1)",PRESENT_ENCRYPT_SBOX,"T-DMA,"
out of processor 000007fc,"xori t2,t2,-1",PRESENT_ENCRYPT_SBOX,"not found,"
000007cc,"xorc16 a4,a3,a5",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000878,"lw a4,4(a1)",PRESENT_ENCRYPT_SBOX,"Memory Stage,"
