address,instruction,function,stage/unit
00000884,"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
000007c8,"and t1,t1,a4",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000828,"and a4,t1,a4",PRESENT_ENCRYPT_SBOX,"Execute Stage,Write-Back Stage,Memory Stage,"
0000087c,"and t5,a4,t5",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000824,"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,Write-Back Stage,"
00000000 (00000878 flushed),"lw a4,4(a1)",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000000 (000007c4 flushed),"xori t1,t4,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000000 (000007f4 flushed),"lw t1,12(a1)",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,Memory Stage,Execute Stage,"
00000000 (00000824 flushed),"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,Memory Stage,Decode Stage,"
000007f4,"lw t1,12(a1)",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,"
00000820,"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,Execute Stage,Decode Stage,"
000007f8,"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"Memory Stage,"
00000818,"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"Memory Stage,"
0000081c,"and a4,a4,t0",PRESENT_ENCRYPT_SBOX,"Memory Stage,"
00000000 (000007fc flushed),"xori t2,t2,-1",PRESENT_ENCRYPT_SBOX,"Memory Stage,"
00000000 (00000820 flushed),"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"Memory Stage,"
out of processor 000007f8,"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"not found,T-DMA,SoC Interconnect,"
out of processor 00000828,"and a4,t1,a4",PRESENT_ENCRYPT_SBOX,"not found,SoC Interconnect,T-DMA,AES Coprocessor,UART,Timer,"
out of processor 00000000 (00000824 flushed),"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"not found,SoC Interconnect,T-DMA,AES Coprocessor,UART,Timer,"
out of processor 00000818,"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"not found,SoC Interconnect,"
out of processor 0000081c,"and a4,a4,t0",PRESENT_ENCRYPT_SBOX,"not found,SoC Interconnect,"
00000000 (00000828 flushed),"and a4,t1,a4",PRESENT_ENCRYPT_SBOX,"Execute Stage,Memory Stage,Decode Stage,"
0000082c,"sw a4,4(a0)",PRESENT_ENCRYPT_SBOX,"Execute Stage,Decode Stage,"
00000000 (0000081c flushed),"and a4,a4,t0",PRESENT_ENCRYPT_SBOX,"Execute Stage,Memory Stage,"
00000800,"and t1,t1,t2",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
out of processor 00000000 (00000820 flushed),"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"not found,SoC Interconnect,"
out of processor 00000000 (000007f4 flushed),"lw t1,12(a1)",PRESENT_ENCRYPT_SBOX,"not found,T-DMA,"
out of processor 00000000 (000007fc flushed),"xori t2,t2,-1",PRESENT_ENCRYPT_SBOX,"not found,T-DMA,UART,SoC Interconnect,AES Coprocessor,"
00000000 (00000818 flushed),"xori a4,a4,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000000 (00000810 flushed),"and a4,a4,t3",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000810,"and a4,a4,t3",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
out of processor 00000000 (0000081c flushed),"and a4,a4,t0",PRESENT_ENCRYPT_SBOX,"AES Coprocessor,"
out of processor 00000000 (00000828 flushed),"and a4,t1,a4",PRESENT_ENCRYPT_SBOX,"SoC Interconnect,UART,T-DMA,AES Coprocessor,not found,"
out of processor 00000000 (0000082c flushed),"sw a4,4(a0)",PRESENT_ENCRYPT_SBOX,"not found,"
00000000 (0000082c flushed),"sw a4,4(a0)",PRESENT_ENCRYPT_SBOX,"Decode Stage,"
000007d4,"xor t1,t1,a4",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000000 (000007d0 flushed),"xori t1,t1,-1",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000838,"lw a4,8(a1)",PRESENT_ENCRYPT_SBOX,"Execute Stage,"
00000000 (00000838 flushed),"lw a4,8(a1)",PRESENT_ENCRYPT_SBOX,"Decode Stage,"
00000000 (000007f0 flushed),"and t2,t3,t0",PRESENT_ENCRYPT_SBOX,"Write-Back Stage,"
