gate,rank,line,module,unit,gate_type,combined_score,lti range,lti start,welcht,weight
skivav/memory_arbiter_inst_interface_d_mem_data_in_reg_reg[7],1,{{../../rtl/skivav/memory_arbiter.v 88 53}},memory_arbiter.v,SoC Interconnect,sky130_fd_sc_hd__dfxtp_1,554.5777279361994,357160000-357179999,357160000,33.98327214767268,1
skivav/memory_arbiter_inst_interface_d_mem_data_in_reg_reg[7],1,{{../../rtl/skivav/memory_arbiter.v 88 53}},memory_arbiter.v,SoC Interconnect,sky130_fd_sc_hd__dfxtp_1,554.5777279361994,358780000-358799999,358780000,34.31820939090965,1
skivav/memory_arbiter_inst_interface_d_mem_data_in_reg_reg[7],1,{{../../rtl/skivav/memory_arbiter.v 88 53}},memory_arbiter.v,SoC Interconnect,sky130_fd_sc_hd__dfxtp_1,554.5777279361994,354080000-354099999,354080000,32.48809305693688,1
skivav/memory_arbiter_inst_interface_d_mem_data_in_reg_reg[7],1,{{../../rtl/skivav/memory_arbiter.v 88 53}},memory_arbiter.v,SoC Interconnect,sky130_fd_sc_hd__dfxtp_1,554.5777279361994,355840000-355859999,355840000,33.064583267699994,1
skivav/memory_arbiter_inst_interface_d_mem_data_in_reg_reg[7],1,{{../../rtl/skivav/memory_arbiter.v 88 53}},memory_arbiter.v,SoC Interconnect,sky130_fd_sc_hd__dfxtp_1,554.5777279361994,361580000-361599999,361580000,32.935550747150245,1
skivav/memory_arbiter_inst_interface_d_mem_data_in_reg_reg[7],1,{{../../rtl/skivav/memory_arbiter.v 88 53}},memory_arbiter.v,SoC Interconnect,sky130_fd_sc_hd__dfxtp_1,554.5777279361994,354520000-354539999,354520000,32.10955511077294,1
skivav/memory_arbiter_inst_interface_d_mem_data_in_reg_reg[7],1,{{../../rtl/skivav/memory_arbiter.v 88 53}},memory_arbiter.v,SoC Interconnect,sky130_fd_sc_hd__dfxtp_1,554.5777279361994,364380000-364399999,364380000,32.10955511077294,1
skivav/memory_arbiter_inst_interface_d_mem_data_in_reg_reg[7],1,{{../../rtl/skivav/memory_arbiter.v 88 53}},memory_arbiter.v,SoC Interconnect,sky130_fd_sc_hd__dfxtp_1,554.5777279361994,362780000-362799999,362780000,33.58616978491824,1
skivav/memory_arbiter_inst_interface_d_mem_data_in_reg_reg[7],1,{{../../rtl/skivav/memory_arbiter.v 88 53}},memory_arbiter.v,SoC Interconnect,sky130_fd_sc_hd__dfxtp_1,554.5777279361994,359180000-359199999,359180000,33.064583267699994,1
skivav/memory_arbiter_inst_interface_d_mem_data_in_reg_reg[7],1,{{../../rtl/skivav/memory_arbiter.v 88 53}},memory_arbiter.v,SoC Interconnect,sky130_fd_sc_hd__dfxtp_1,554.5777279361994,351440000-351459999,351440000,31.36565952919131,1
skivav/memory_arbiter_inst_interface_d_mem_data_in_reg_reg[7],1,{{../../rtl/skivav/memory_arbiter.v 88 53}},memory_arbiter.v,SoC Interconnect,sky130_fd_sc_hd__dfxtp_1,554.5777279361994,352760000-352779999,352760000,31.611725013057395,1
skivav/memory_arbiter_inst_interface_d_mem_data_in_reg_reg[7],1,{{../../rtl/skivav/memory_arbiter.v 88 53}},memory_arbiter.v,SoC Interconnect,sky130_fd_sc_hd__dfxtp_1,554.5777279361994,353640000-353659999,353640000,34.453233759049326,1
skivav/memory_arbiter_inst_interface_d_mem_data_in_reg_reg[7],1,{{../../rtl/skivav/memory_arbiter.v 88 53}},memory_arbiter.v,SoC Interconnect,sky130_fd_sc_hd__dfxtp_1,554.5777279361994,353200000-353219999,353180000,33.58616978491824,1
skivav/memory_arbiter_inst_interface_d_mem_data_in_reg_reg[7],1,{{../../rtl/skivav/memory_arbiter.v 88 53}},memory_arbiter.v,SoC Interconnect,sky130_fd_sc_hd__dfxtp_1,554.5777279361994,356720000-356739999,356720000,31.550033665234917,1
skivav/memory_arbiter_inst_interface_d_mem_data_in_reg_reg[7],1,{{../../rtl/skivav/memory_arbiter.v 88 53}},memory_arbiter.v,SoC Interconnect,sky130_fd_sc_hd__dfxtp_1,554.5777279361994,351880000-351899999,351880000,32.04690178307921,1
skivav/memory_arbiter_inst_interface_d_mem_data_in_reg_reg[7],1,{{../../rtl/skivav/memory_arbiter.v 88 53}},memory_arbiter.v,SoC Interconnect,sky130_fd_sc_hd__dfxtp_1,554.5777279361994,363580000-363599999,363580000,31.304432517135417,1
