gate,rank,line,module,unit,gate_type,combined_score,lti range,lti start,welcht,weight
skivav/g153742,1,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a2bb2oi_1,76.73902765121372,10080000-10099999,10080000,26.136387454766346,1
skivav/g153742,1,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a2bb2oi_1,76.73902765121372,10060000-10079999,10060000,26.136387454766346,1
skivav/g153742,1,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a2bb2oi_1,76.73902765121372,14020000-14039999,14020000,24.466252741681025,1
skivav/g152999,2,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a221oi_1,75.97506994002619,10080000-10099999,10080000,26.136387454766346,1
skivav/g152999,2,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a221oi_1,75.97506994002619,10060000-10079999,10060000,26.136387454766346,1
skivav/g152999,2,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a221oi_1,75.97506994002619,14020000-14039999,14020000,23.702295030493495,1
skivav/g156678,3,{{../../rtl/skivav/ALU.v 63 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,75.16593118867871,10080000-10099999,10080000,26.456518448598874,1
skivav/g156678,3,{{../../rtl/skivav/ALU.v 63 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,75.16593118867871,10060000-10079999,10060000,26.456518448598874,1
skivav/g156678,3,{{../../rtl/skivav/ALU.v 63 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,75.16593118867871,14020000-14039999,14020000,22.252894291480967,1
skivav/g153009,4,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a221oi_1,75.0496399348937,10080000-10099999,10080000,25.08565767166947,1
skivav/g153009,4,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a221oi_1,75.0496399348937,10060000-10079999,10060000,25.08565767166947,1
skivav/g153009,4,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a221oi_1,75.0496399348937,14020000-14039999,14020000,24.87832459155477,1
skivav/g156206,5,{{../../rtl/skivav/ALU.v 63 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nor2_1,72.98703943296353,10080000-10099999,10080000,26.296154187274542,1
skivav/g156206,5,{{../../rtl/skivav/ALU.v 63 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nor2_1,72.98703943296353,10060000-10079999,10060000,26.296154187274542,1
skivav/g156206,5,{{../../rtl/skivav/ALU.v 63 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nor2_1,72.98703943296353,14020000-14039999,14020000,20.394731058414447,1
skivav/g155022,7,{{../../rtl/skivav/ALU.v 113 126}},ALU.v,Execute Stage,sky130_fd_sc_hd__xnor2_1,72.92605852240936,10080000-10099999,10080000,30.10304586193473,1
skivav/g155022,7,{{../../rtl/skivav/ALU.v 113 126}},ALU.v,Execute Stage,sky130_fd_sc_hd__xnor2_1,72.92605852240936,10060000-10079999,10060000,30.10304586193473,1
skivav/g155022,7,{{../../rtl/skivav/ALU.v 113 126}},ALU.v,Execute Stage,sky130_fd_sc_hd__xnor2_1,72.92605852240936,14020000-14039999,14020000,12.719966798539897,1
skivav/g155313,8,{{../../rtl/skivav/ALU.v 100 49}},ALU.v,Execute Stage,sky130_fd_sc_hd__o22a_1,72.8380001409786,10080000-10099999,10080000,29.92646665734875,1
skivav/g155313,8,{{../../rtl/skivav/ALU.v 100 49}},ALU.v,Execute Stage,sky130_fd_sc_hd__o22a_1,72.8380001409786,10060000-10079999,10060000,29.92646665734875,1
skivav/g155313,8,{{../../rtl/skivav/ALU.v 100 49}},ALU.v,Execute Stage,sky130_fd_sc_hd__o22a_1,72.8380001409786,14020000-14039999,14020000,12.985066826281093,1
skivav/g156405,9,{{../../rtl/skivav/ALU.v 63 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,70.24237517102027,10080000-10099999,10080000,24.363755716075314,1
skivav/g156405,9,{{../../rtl/skivav/ALU.v 63 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,70.24237517102027,10060000-10079999,10060000,24.363755716075314,1
skivav/g156405,9,{{../../rtl/skivav/ALU.v 63 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,70.24237517102027,14020000-14039999,14020000,21.51486373886964,1
skivav/g156437,11,{{../../rtl/skivav/ALU.v 68 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nor2b_1,68.01109374542638,10080000-10099999,10080000,25.398354929424446,1
skivav/g156437,11,{{../../rtl/skivav/ALU.v 68 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nor2b_1,68.01109374542638,10060000-10079999,10060000,25.398354929424446,1
skivav/g156437,11,{{../../rtl/skivav/ALU.v 68 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nor2b_1,68.01109374542638,14020000-14039999,14020000,17.214383886577483,1
skivav/core_EX_EU_sub_71_39_Y_core_EX_EU_add_55_39_g1422,12,{{../../rtl/skivav/ALU.v 71 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,67.48965019367607,10080000-10099999,10080000,26.136387454766346,1
skivav/core_EX_EU_sub_71_39_Y_core_EX_EU_add_55_39_g1422,12,{{../../rtl/skivav/ALU.v 71 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,67.48965019367607,10060000-10079999,10060000,26.136387454766346,1
skivav/core_EX_EU_sub_71_39_Y_core_EX_EU_add_55_39_g1422,12,{{../../rtl/skivav/ALU.v 71 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,67.48965019367607,14020000-14039999,14020000,15.216875284143379,1
skivav/g165090,13,{{../../rtl/skivav/ALU.v 105 106}},ALU.v,Execute Stage,sky130_fd_sc_hd__or3b_2,67.1117560668004,10080000-10099999,10080000,29.92646665734875,1
skivav/g165090,13,{{../../rtl/skivav/ALU.v 105 106}},ALU.v,Execute Stage,sky130_fd_sc_hd__or3b_2,67.1117560668004,10060000-10079999,10060000,29.92646665734875,1
skivav/g165090,13,{{../../rtl/skivav/ALU.v 105 106}},ALU.v,Execute Stage,sky130_fd_sc_hd__or3b_2,67.1117560668004,14020000-14039999,14020000,7.2588227521028985,1
skivav/g154783,14,{{../../rtl/skivav/ALU.v 113 107}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand3_1,67.1117560668004,10080000-10099999,10080000,29.92646665734875,1
skivav/g154783,14,{{../../rtl/skivav/ALU.v 113 107}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand3_1,67.1117560668004,10060000-10079999,10060000,29.92646665734875,1
skivav/g154783,14,{{../../rtl/skivav/ALU.v 113 107}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand3_1,67.1117560668004,14020000-14039999,14020000,7.2588227521028985,1
skivav/g156677,15,{{../../rtl/skivav/ALU.v 125 31}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,66.66118317064013,10080000-10099999,10080000,24.72339964203132,1
skivav/g156677,15,{{../../rtl/skivav/ALU.v 125 31}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,66.66118317064013,10060000-10079999,10060000,24.72339964203132,1
skivav/g156677,15,{{../../rtl/skivav/ALU.v 125 31}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,66.66118317064013,14020000-14039999,14020000,17.214383886577483,1
skivav/core_EX_EU_sub_71_39_Y_core_EX_EU_add_55_39_g1524,16,{{../../rtl/skivav/ALU.v 71 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__fahcin_1,66.66118317064013,10080000-10099999,10080000,24.72339964203132,1
skivav/core_EX_EU_sub_71_39_Y_core_EX_EU_add_55_39_g1524,16,{{../../rtl/skivav/ALU.v 71 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__fahcin_1,66.66118317064013,10060000-10079999,10060000,24.72339964203132,1
skivav/core_EX_EU_sub_71_39_Y_core_EX_EU_add_55_39_g1524,16,{{../../rtl/skivav/ALU.v 71 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__fahcin_1,66.66118317064013,14020000-14039999,14020000,17.214383886577483,1
skivav/g165081,17,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a21boi_1,66.57649475953403,10080000-10099999,10080000,29.92646665734875,1
skivav/g165081,17,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a21boi_1,66.57649475953403,10060000-10079999,10060000,29.92646665734875,1
skivav/g165081,17,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a21boi_1,66.57649475953403,14020000-14039999,14020000,6.723561444836531,1
skivav/g155190,18,{{../../rtl/skivav/ALU.v 100 49}},ALU.v,Execute Stage,sky130_fd_sc_hd__inv_1,66.57649475953403,10080000-10099999,10080000,29.92646665734875,1
skivav/g155190,18,{{../../rtl/skivav/ALU.v 100 49}},ALU.v,Execute Stage,sky130_fd_sc_hd__inv_1,66.57649475953403,10060000-10079999,10060000,29.92646665734875,1
skivav/g155190,18,{{../../rtl/skivav/ALU.v 100 49}},ALU.v,Execute Stage,sky130_fd_sc_hd__inv_1,66.57649475953403,14020000-14039999,14020000,6.723561444836531,1
skivav/g153173,19,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a222oi_1,66.57649475953403,10080000-10099999,10080000,29.92646665734875,1
skivav/g153173,19,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a222oi_1,66.57649475953403,10060000-10079999,10060000,29.92646665734875,1
skivav/g153173,19,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__a222oi_1,66.57649475953403,14020000-14039999,14020000,6.723561444836531,1
skivav/g153083,20,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__o2111ai_1,66.57649475953403,10080000-10099999,10080000,29.92646665734875,1
skivav/g153083,20,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__o2111ai_1,66.57649475953403,10060000-10079999,10060000,29.92646665734875,1
skivav/g153083,20,{{../../rtl/skivav/pipeline_register.v 45 11}},pipeline_register.v,Execute Stage,sky130_fd_sc_hd__o2111ai_1,66.57649475953403,14020000-14039999,14020000,6.723561444836531,1
skivav/g165087,21,{{../../rtl/skivav/ALU.v 105 106}},ALU.v,Execute Stage,sky130_fd_sc_hd__or3b_2,66.20457343606888,10080000-10099999,10080000,30.10304586193473,1
skivav/g165087,21,{{../../rtl/skivav/ALU.v 105 106}},ALU.v,Execute Stage,sky130_fd_sc_hd__or3b_2,66.20457343606888,10060000-10079999,10060000,30.10304586193473,1
skivav/g165087,21,{{../../rtl/skivav/ALU.v 105 106}},ALU.v,Execute Stage,sky130_fd_sc_hd__or3b_2,66.20457343606888,14020000-14039999,14020000,5.998481712199427,1
skivav/g154784,22,{{../../rtl/skivav/ALU.v 113 107}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand3_1,66.20457343606888,10080000-10099999,10080000,30.10304586193473,1
skivav/g154784,22,{{../../rtl/skivav/ALU.v 113 107}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand3_1,66.20457343606888,10060000-10079999,10060000,30.10304586193473,1
